,precision,recall,f1-score,support
Bacterial Spot,1.0,1.0,1.0,43.0
Cercospora Leaf Spot,0.975609756097561,0.975609756097561,0.975609756097561,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,0.9791666666666666,0.9894736842105263,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,0.9791666666666666,1.0,0.9894736842105263,47.0
Northern Leaf Blight,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
Septoria Leaf Spot,1.0,1.0,1.0,44.0
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0
accuracy,0.9935344827586207,0.9935344827586207,0.9935344827586207,0.9935344827586207
macro avg,0.9926603432700993,0.9926603432700993,0.9926359767983644,464.0
weighted avg,0.993579382183908,0.9935344827586207,0.9935344827586207,464.0
