Classification Report for regnet (hierarchical) on plantvillage:

                        precision    recall  f1-score     support
Bacterial Spot           1.000000  0.790698  0.883117   43.000000
Cercospora Leaf Spot     1.000000  0.926829  0.962025   41.000000
Common Rust              0.979592  1.000000  0.989691   48.000000
Early Blight             1.000000  0.958333  0.978723   48.000000
Healthy                  0.755906  1.000000  0.860987   96.000000
Late Blight              1.000000  0.978723  0.989247   47.000000
Northern Leaf Blight     0.956522  0.916667  0.936170   48.000000
Septoria Leaf Spot       1.000000  0.886364  0.939759   44.000000
Yellow Leaf Curl Virus   1.000000  0.795918  0.886364   49.000000
accuracy                 0.926724  0.926724  0.926724    0.926724
macro avg                0.965780  0.917059  0.936231  464.000000
weighted avg             0.942889  0.926724  0.928379  464.000000
