,precision,recall,f1-score,support
Bacterial Spot,1.0,1.0,1.0,43.0
Cercospora Leaf Spot,1.0,0.9512195121951219,0.975,41.0
Common Rust,0.9795918367346939,1.0,0.9896907216494846,48.0
Early Blight,1.0,0.9583333333333334,0.9787234042553191,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,0.9591836734693877,1.0,0.9791666666666666,47.0
Northern Leaf Blight,0.9591836734693877,0.9791666666666666,0.9690721649484536,48.0
Septoria Leaf Spot,1.0,1.0,1.0,44.0
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0
accuracy,0.9892241379310345,0.9892241379310345,0.9892241379310345,0.9892241379310345
macro avg,0.9886621315192744,0.9876355013550135,0.987961439724436,464.0
weighted avg,0.9895320197044334,0.9892241379310345,0.9892137398583829,464.0
