,precision,recall,f1-score,support
Bacterial Spot,1.0,0.7906976744186046,0.8831168831168831,43.0
Cercospora Leaf Spot,1.0,0.926829268292683,0.9620253164556962,41.0
Common Rust,0.9795918367346939,1.0,0.9896907216494846,48.0
Early Blight,1.0,0.9166666666666666,0.9565217391304348,48.0
Healthy,0.7559055118110236,1.0,0.8609865470852018,96.0
Late Blight,0.9583333333333334,0.9787234042553191,0.968421052631579,47.0
Northern Leaf Blight,0.9565217391304348,0.9166666666666666,0.9361702127659575,48.0
Septoria Leaf Spot,1.0,0.8863636363636364,0.9397590361445783,44.0
Yellow Leaf Curl Virus,1.0,0.7959183673469388,0.8863636363636364,49.0
accuracy,0.9224137931034483,0.9224137931034483,0.9224137931034483,0.9224137931034483
macro avg,0.961150269001054,0.9124295204456128,0.9314505717048279,464.0
weighted avg,0.9386682056940757,0.9224137931034483,0.9239722975106786,464.0
