,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.2682926829268293,0.4583333333333333,0.3384615384615385,48.0
Common Rust,0.16666666666666666,0.10416666666666667,0.1282051282051282,48.0
Early Blight,0.37777777777777777,0.3469387755102041,0.3617021276595745,49.0
Healthy,0.2753623188405797,0.3958333333333333,0.3247863247863248,48.0
Late Blight,0.23134328358208955,0.6326530612244898,0.33879781420765026,49.0
Northern Leaf Blight,0.25,0.2127659574468085,0.22988505747126436,47.0
Septoria Leaf Spot,0.15384615384615385,0.0392156862745098,0.0625,51.0
Yellow Leaf Curl Virus,0.2857142857142857,0.15384615384615385,0.2,52.0
accuracy,0.2579185520361991,0.2579185520361991,0.2579185520361991,0.2579185520361991
macro avg,0.22322257437270915,0.26041699640394433,0.22048199897683118,442.0
weighted avg,0.22261463528227565,0.2579185520361991,0.21879262091037788,442.0
