,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.75,0.5,0.6,48.0
Common Rust,0.8125,0.5416666666666666,0.65,48.0
Early Blight,0.3764705882352941,0.6530612244897959,0.47761194029850745,49.0
Healthy,0.31746031746031744,0.4166666666666667,0.36036036036036034,48.0
Late Blight,0.36046511627906974,0.6326530612244898,0.45925925925925926,49.0
Northern Leaf Blight,0.5192307692307693,0.574468085106383,0.5454545454545454,47.0
Septoria Leaf Spot,0.35135135135135137,0.2549019607843137,0.29545454545454547,51.0
Yellow Leaf Curl Virus,0.7058823529411765,0.6923076923076923,0.6990291262135923,52.0
accuracy,0.47285067873303166,0.47285067873303166,0.47285067873303166,0.47285067873303166
macro avg,0.46592894394421985,0.4739694841384454,0.45412997522675663,442.0
weighted avg,0.46465292349548715,0.47285067873303166,0.4530725024734844,442.0
